time,FMIDPRICE,f2,f3,f4,f5,f6,f7,f8,f9,f10
2017-09-01 08:46:07.366920,10574.5,2.0,0.978494623656,-0.313772226639,0.696414730313,0.0,1.0,5.0,0.0,0.307844164545
2017-09-01 08:46:07.866944,10573.5,6.0,-0.957446808511,-0.328978878205,0.634356580286,0.0,-2.0,-2.0,0.0,0.0
2017-09-01 08:46:09.116789,10574.5,2.0,0.978494623656,-0.313984092115,0.495694696477,0.0,0.0,3.0,0.0,0.230883123408
2017-09-01 08:46:11.491808,10573.5,6.0,0.978260869565,-0.319090769661,0.735585128451,0.0,-6.0,3.0,0.0,0.285930539413
2017-09-01 08:46:14.366994,10574.5,6.0,0.978260869565,0.364109970198,0.574800643406,0.0,4.0,34.0,0.0,1.20003706947
2017-09-01 08:46:16.866965,10575.5,67.0,0.975308641975,0.90517182157,1.33703553081,0.0,45.0,44.0,0.924446883854,2.2224408834
2017-09-01 08:46:17.241976,10574.5,-1.0,0.975,0.107751110764,0.680261744252,0.0,-1.0,-2.0,0.0,0.0
2017-09-01 08:46:23.616963,10575.5,-54.0,-0.984,-0.513780880298,-1.02231378238,-1.0,14.0,-15.0,0.0,-0.620746418508
2017-09-01 08:46:25.116826,10574.5,12.0,-0.984,0.421275768451,1.05167445556,-1.0,-9.0,21.0,0.0,0.381240719217
2017-09-01 08:46:29.741997,10575.5,-48.0,0.976744186047,0.500639856256,0.699025725299,0.0,6.0,-14.0,0.0,-0.190620359609
2017-09-01 08:46:35.117018,10576.5,54.0,-0.984126984127,0.949805752618,1.5000593144,0.0,74.0,48.0,0.571861078826,0.344199447537
2017-09-01 08:46:45.116995,10575.5,23.0,-0.974683544304,-1.00508057596,1.00076187481,0.0,1.0,-51.0,0.116537816248,-1.67541473216
2017-09-01 08:46:45.866970,10576.5,-1.0,-0.971428571429,0.235437679921,0.782257730453,0.0,1.0,0.0,0.0,0.0
